Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
24,5.649000,4096.000000,1079866.728119,284403.000000,1079866.728119,284403.000000,1079866.728119,284403.000000,1079866.728119,284403.000000,1079866.728119,284403.000000,1079866.728119,284403.000000
24,7.918000,512.000000,2064541.860067,244640.000000,2064541.860067,244640.000000,2064541.860067,244640.000000,2064541.860067,244640.000000,2064541.860067,244640.000000,2064541.860067,244640.000000
24,4.073000,262144.000000,659056.743274,311054.000000,659056.743274,311054.000000,659056.743274,311054.000000,659056.743274,311054.000000,659056.743274,311054.000000,659056.743274,311054.000000
24,4.639000,32768.000000,614910.990308,285791.000000,614910.990308,285791.000000,614910.990308,285791.000000,614910.990308,285791.000000,614910.990308,285791.000000,614910.990308,285791.000000
24,30.000000,9.000000,3548790.978290,61482.000000,3548790.978290,61482.000000,3548790.978290,61482.000000,3548790.978290,61482.000000,3548790.978290,61482.000000,3548790.978290,61482.000000
24,30.000000,15.000000,3933011.637976,69012.000000,3966557.633236,68164.000000,3966557.633236,68164.000000,3966557.633236,68164.000000,4555112.503756,236305.000000,3933011.637976,69012.000000
24,30.000000,6.000000,3920505.406321,68502.000000,3920505.406321,68502.000000,3920505.406321,68502.000000,3920505.406321,68502.000000,3920505.406321,68502.000000,3920505.406321,68502.000000
24,16.772000,64.000000,3849836.050340,66743.000000,3855549.845207,66743.000000,3855549.845207,66743.000000,3855549.845207,66743.000000,3774995.691105,115181.000000,3849836.050340,66743.000000
24,30.000000,12.000000,3596502.180051,63004.000000,3596502.180051,63004.000000,3596502.180051,63004.000000,3596502.180051,63004.000000,3560467.263390,63004.000000,3596502.180051,63004.000000
24,30.000000,18.000000,4083798.798269,112378.000000,4145292.554280,70707.000000,4145292.554280,70707.000000,4145292.554280,70707.000000,4549494.579464,244998.000000,4083798.798269,112378.000000
