Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
34,30.000000,12.000000,21188.300097,21181.690065,21181.690065,21181.690065,21181.690065,21181.690065
34,30.000000,9.000000,18863.350895,18863.350895,18863.350895,18863.350895,18863.350895,18863.350895
34,30.000000,6.000000,20368.444565,20368.444565,20368.444565,20368.444565,20368.444565,20368.444565
34,16.772000,64.000000,23707.349641,23707.300732,23707.300732,23707.300732,23707.300732,23707.300732
34,30.000000,15.000000,27629.185439,27322.855561,26748.860424,26748.860424,26748.860424,26748.860424
34,30.000000,18.000000,31713.457238,31040.657177,30850.131620,31207.578262,31207.578262,30850.131620
34,7.918000,512.000000,59657.528645,59657.528645,59657.528645,59657.528645,59657.528645,59657.528645
34,5.649000,4096.000000,101334.156364,101334.156364,101334.156364,101334.156364,101334.156364,101334.156364
34,4.073000,262144.000000,170529.572664,148297.262362,148297.262362,148297.262362,148297.262362,148297.262362
34,4.639000,32768.000000,740508.664720,331829.339087,331829.339087,331829.339087,331829.460249,331829.339087
