Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
34,5.649000,4096.000000,95787.846458,36284.000000,95787.846458,36284.000000,95787.846458,36284.000000,95787.846458,36284.000000,95787.846458,36284.000000,95787.846458,36284.000000
34,7.918000,512.000000,52627.479818,19724.000000,52627.479818,19724.000000,52627.479818,19724.000000,52627.479818,19724.000000,52627.479818,19724.000000,52627.479818,19724.000000
34,30.000000,18.000000,33230.430091,3157.000000,33230.430091,3157.000000,33230.430091,3157.000000,33230.430091,3157.000000,33230.430091,3157.000000,33230.430091,3157.000000
34,30.000000,9.000000,25931.940479,2968.000000,25931.940479,2968.000000,25931.940479,2968.000000,25931.940479,2968.000000,25931.940479,2968.000000,25931.940479,2968.000000
34,16.772000,64.000000,26042.005338,2850.000000,26042.005338,2850.000000,26042.005338,2850.000000,26042.005338,2850.000000,26042.005338,2850.000000,26042.005338,2850.000000
34,30.000000,15.000000,26164.266816,4366.000000,26164.266816,4366.000000,26164.266816,4366.000000,26164.266816,4366.000000,26164.266816,4366.000000,26164.266816,4366.000000
34,4.073000,262144.000000,101232.682692,19583.000000,101232.682692,19583.000000,101232.682692,19583.000000,101232.682692,19583.000000,101232.682692,19583.000000,101232.682692,19583.000000
34,4.639000,32768.000000,315325.847937,43202.000000,315325.847937,43202.000000,315325.847937,43202.000000,315325.847937,43202.000000,315325.847937,43202.000000,315325.847937,43202.000000
34,30.000000,6.000000,21790.008995,2913.000000,21790.008995,2913.000000,21790.008995,2913.000000,21790.008995,2913.000000,21790.008995,2913.000000,21790.008995,2913.000000
34,30.000000,12.000000,28999.984741,12659.000000,28999.984741,12659.000000,28999.984741,12659.000000,28999.984741,12659.000000,28999.984741,12659.000000,28999.984741,12659.000000
