Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
38,4.073000,262144.000000,54932.056879,41922.000000
38,4.639000,32768.000000,105528.946735,88411.000000
38,5.649000,4096.000000,60572.890009,39965.000000
38,7.918000,512.000000,27146.555693,7224.000000
38,16.772000,64.000000,19088.335260,2868.000000
38,30.000000,6.000000,16435.941683,3229.000000
38,30.000000,9.000000,17790.918976,3865.000000
38,30.000000,12.000000,16498.104982,3235.000000
38,30.000000,15.000000,19098.524498,3031.000000
38,30.000000,18.000000,19538.210409,3911.000000
