Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
36,4.073000,262144.000000,220345.797273,204215.000000
36,4.639000,32768.000000,142747.215451,94775.000000
36,5.649000,4096.000000,54080.980492,19416.000000
36,7.918000,512.000000,68893.822590,32658.000000
36,16.772000,64.000000,22371.308612,4467.000000
36,30.000000,6.000000,32593.368022,9857.000000
36,30.000000,9.000000,31544.938104,7486.000000
36,30.000000,12.000000,20862.045082,3534.000000
36,30.000000,15.000000,25949.177328,6562.000000
36,30.000000,18.000000,33996.599212,7496.000000
