frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,83394325.810894,2274911.000000
4,161151796.618710,3372339.000000
8,85571549.431412,2261762.000000
16,385447.405229,213068.000000
32,1507659.389847,1047007.000000
64,1693813.964914,822664.000000
128,2279462.425478,1095470.000000
256,2264038.212881,1204645.000000
512,2396858.360725,1115112.000000
1024,158957551.688415,3317892.000000
2048,84033581.888808,2170296.000000
4096,149846140.792283,3404046.000000
8192,162398453.689816,3356200.000000
16384,54958380.405192,2185429.000000
32768,97811382.622874,3495572.000000
65536,207793591.411958,2849017.000000
