frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,127374984.331902,3260780.000000
4,131273753.259047,3526708.000000
8,877381.048650,472300.000000
16,132292850.880871,3346643.000000
32,69506370.715841,2392346.000000
64,130247231.862184,3385902.000000
128,64319153.376483,2269795.000000
256,66863633.311153,2395492.000000
512,137343425.763080,3566304.000000
1024,1343404.448244,880338.000000
2048,143835913.387906,3461653.000000
4096,63232199.148077,2288897.000000
8192,138459165.465712,3402577.000000
16384,2838848.386662,1068583.000000
32768,149297002.680451,3218743.000000
65536,5458412.245200,852903.000000
