frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,82669498.378628,2285435.000000
4,158905458.240958,3323751.000000
8,584285.501678,365866.000000
16,1541626.590760,983050.000000
32,165037691.533236,3518338.000000
64,162539595.593397,3377006.000000
128,167919753.175535,3487016.000000
256,82149950.509719,2309384.000000
512,2096205.767218,942240.000000
1024,1900276.685743,1038440.000000
2048,844634.357589,589200.000000
4096,125798907.929374,3409268.000000
8192,3352202.515366,1359201.000000
16384,196894008.115615,3569946.000000
32768,174296321.624193,3485497.000000
65536,79245492.794647,1954858.000000
