arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,16082836.420546409,10224201.05569022,22473304.570388574,22043982.335661132,16996612.355364818,10224201.05569022,22571657.387846712,10954015.187807163
22,13909778.608572567,8648763.166418595,20650414.438643936,19766631.6277126,14702779.313459547,8648763.166418595,18565287.163563106,9154677.12352462
24,14281864.518163307,8937342.768471118,18796340.610765357,18766837.589514144,15183788.512927562,8937342.768471118,19362025.502445217,9187903.962780302
26,10243266.997606622,6569390.67588007,15432122.214294702,15832390.910872431,11076356.795076484,6569390.67588007,14893045.021019643,6351062.387791511
28,11758151.40950226,7422969.72263588,17442547.03993548,20414016.09686095,12636982.817385249,7422969.72263588,15399347.338265054,7453494.331386857
30,8907267.674154853,5974935.75756334,12964063.838236837,15196251.871532533,10300622.087139495,5974935.75756334,14148018.715519322,5412918.134605492
32,7650556.112175899,4898189.375937909,10355621.883888867,13114751.503650917,8385169.14067033,4898189.375937909,10839078.335158484,4503224.810409869
34,5606463.527242999,3695905.3562707743,8083561.964516323,9210494.74556986,6481676.257436112,3695905.3562707743,8819211.756623888,3290324.918014329
36,6556716.033428777,4323576.738161704,8942757.464506349,12618123.934193743,7322510.214496529,4323576.738161704,10899613.973877287,3878840.992802876
38,6417964.252076978,4093846.6551023866,9583891.011279345,16254417.31329816,6914215.923726348,4093846.6551023866,10627416.141680112,3765491.1465633535
40,4357374.623081541,2630437.10262211,5279001.438034185,10524359.453643866,4578784.71374141,2630437.10262211,5901710.676999424,2614948.322317479
