arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,12340572.673761051,8079905.721578501,18124696.744964123,20031195.515119113,13323069.083245683,8079905.721578501,20200277.26269662,8242131.565158311
22,10901514.253987012,6766640.15249651,15673345.127112623,17860394.25866372,11307284.037043555,6766640.15249651,16586834.686507247,6584070.420665244
24,11409831.303376706,7151269.449185438,15067770.006763674,18916705.82529387,12046761.463268043,7151269.449185438,19762815.774628397,7367935.498137589
26,16475332.653739832,10425536.622771462,23743997.3189245,20046141.393104658,18022016.148350023,10425536.622771462,20372767.09183318,10859163.711692628
28,12445987.951212551,8019045.129567796,17913324.578546356,19267045.477299497,13492955.099250756,8019045.129567796,20423625.26920282,8187040.414058856
30,10260297.46908295,6367253.002632925,13589029.658114444,19441794.22873105,10624533.853488114,6367253.002632925,20248320.58248659,6084513.605002539
32,7202765.01379019,4873830.148586941,11337625.291710606,7930712.439510085,9217247.576520335,4873830.148586941,7981546.982626677,4167398.093857845
34,8319529.295092241,5233779.657261279,13161140.276810858,11023876.416588495,9394161.269290356,5233779.657261279,11085225.546295077,4851179.568540831
36,6938102.469341455,4058753.3858083813,8734095.685958907,8973829.161798937,7321258.598482163,4058753.3858083813,9102240.008175954,3818732.2932202253
38,4678678.05601967,3022064.6689847657,5897107.409358761,12648131.423446825,5102809.004143208,3022064.6689847657,6868617.504213639,2933056.5795446225
40,2742317.4722723113,1552284.6780165678,3273622.487183579,7994913.74404152,2650492.3616630174,1552284.6780165678,3359339.7595549934,1551672.4473518888
