arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,12340572.673761051,8079905.721578501,18124696.744964123,20031195.515119113,13319437.562776215,12523384.667975707,20200352.890470356,8242131.565158311
22,10901514.253987012,6766640.15249651,15673345.127112623,17860394.25866372,11309745.923236737,11911856.145152988,16586797.284054086,6584070.420665244
24,11409831.303376706,7151269.449185438,15067770.006763674,18916705.82529387,12052494.900602156,7528321.190518375,19762815.755671937,7367935.498137589
26,16475332.653739832,10425536.622771462,23743997.3189245,20046141.393104658,18022505.83944963,11063758.489964657,20372767.09183318,10859163.711692628
28,12445987.951212551,8019045.129567796,17913324.578546356,19267045.477299497,13491880.88674222,8073787.299018472,20423625.270630997,8187040.414058856
30,10260297.46908295,6367253.002632925,13589029.658114444,19441794.22873105,10620600.671185317,9549731.917221969,19346488.471706927,6084513.605002539
32,7202765.01379019,4873830.148586941,11337625.291710606,7930712.439510085,9217533.772547133,5996282.226449735,7981546.982626677,4167398.093857845
34,8319529.295092241,5233779.657261279,13161140.276810858,11023876.416588495,9391939.942626657,5520541.0071331775,11085225.545952505,4851179.568540831
36,6938102.469341455,4058753.3858083813,8734095.685958907,8973829.161798937,7320792.106323332,6118173.045668535,9102239.492692059,3818732.2932202253
38,4678678.05601967,3022064.6689847657,5897107.409358761,12648131.423446825,5102689.223026521,3500208.8959052144,6866083.97999289,2933056.5795446225
40,2742317.4722723113,1552284.6780165678,3273622.487183579,7994913.74404152,2649053.3564252723,3406607.8792624488,3355151.2149599157,1551672.4473518888
