L,H,bp_parms,arrival_rate,arithmetic,value
16.772,64.0,L16.772/H64,0.05,RMLFQ_L2_Norm/SRPT_L2_Norm,0.0254056963594755
7.918,512.0,L7.918/H512,0.05,RMLFQ_L2_Norm/SRPT_L2_Norm,0.6257178953404352
5.649,4096.0,L5.649/H4096,0.05,RMLFQ_L2_Norm/SRPT_L2_Norm,0.7533842792502956
4.073,262144.0,L4.073/H262144,0.05,RMLFQ_L2_Norm/SRPT_L2_Norm,0.946009009258156
16.772,64.0,L16.772/H64,0.04545,RMLFQ_L2_Norm/SRPT_L2_Norm,0.0317791796376979
7.918,512.0,L7.918/H512,0.04545,RMLFQ_L2_Norm/SRPT_L2_Norm,0.6431192860411092
5.649,4096.0,L5.649/H4096,0.04545,RMLFQ_L2_Norm/SRPT_L2_Norm,0.8929524374286482
4.073,262144.0,L4.073/H262144,0.04545,RMLFQ_L2_Norm/SRPT_L2_Norm,1.1267716705628257
16.772,64.0,L16.772/H64,0.0416,RMLFQ_L2_Norm/SRPT_L2_Norm,0.0619916271377353
7.918,512.0,L7.918/H512,0.0416,RMLFQ_L2_Norm/SRPT_L2_Norm,0.7867330796551866
5.649,4096.0,L5.649/H4096,0.0416,RMLFQ_L2_Norm/SRPT_L2_Norm,1.05749638671271
4.073,262144.0,L4.073/H262144,0.0416,RMLFQ_L2_Norm/SRPT_L2_Norm,1.4725704967043514
16.772,64.0,L16.772/H64,0.0385,RMLFQ_L2_Norm/SRPT_L2_Norm,0.8093461021064992
7.918,512.0,L7.918/H512,0.0385,RMLFQ_L2_Norm/SRPT_L2_Norm,0.9025592093904512
5.649,4096.0,L5.649/H4096,0.0385,RMLFQ_L2_Norm/SRPT_L2_Norm,0.9943710693850102
4.073,262144.0,L4.073/H262144,0.0385,RMLFQ_L2_Norm/SRPT_L2_Norm,1.854796027474944
16.772,64.0,L16.772/H64,0.036,RMLFQ_L2_Norm/SRPT_L2_Norm,0.998454820593074
7.918,512.0,L7.918/H512,0.036,RMLFQ_L2_Norm/SRPT_L2_Norm,0.6244472901332933
5.649,4096.0,L5.649/H4096,0.036,RMLFQ_L2_Norm/SRPT_L2_Norm,1.1143263174744868
4.073,262144.0,L4.073/H262144,0.036,RMLFQ_L2_Norm/SRPT_L2_Norm,1.483125893458079
16.772,64.0,L16.772/H64,0.033,RMLFQ_L2_Norm/SRPT_L2_Norm,0.919069175382574
7.918,512.0,L7.918/H512,0.033,RMLFQ_L2_Norm/SRPT_L2_Norm,1.269172350344164
5.649,4096.0,L5.649/H4096,0.033,RMLFQ_L2_Norm/SRPT_L2_Norm,1.3169072779278834
4.073,262144.0,L4.073/H262144,0.033,RMLFQ_L2_Norm/SRPT_L2_Norm,1.6468807073034466
16.772,64.0,L16.772/H64,0.03123,RMLFQ_L2_Norm/SRPT_L2_Norm,1.0160252841071378
7.918,512.0,L7.918/H512,0.03123,RMLFQ_L2_Norm/SRPT_L2_Norm,1.3461284005108118
5.649,4096.0,L5.649/H4096,0.03123,RMLFQ_L2_Norm/SRPT_L2_Norm,1.3991944658893338
4.073,262144.0,L4.073/H262144,0.03123,RMLFQ_L2_Norm/SRPT_L2_Norm,1.692189950886263
16.772,64.0,L16.772/H64,0.029,RMLFQ_L2_Norm/SRPT_L2_Norm,0.8626033760057646
7.918,512.0,L7.918/H512,0.029,RMLFQ_L2_Norm/SRPT_L2_Norm,1.334635142368351
5.649,4096.0,L5.649/H4096,0.029,RMLFQ_L2_Norm/SRPT_L2_Norm,1.2811796229165902
4.073,262144.0,L4.073/H262144,0.029,RMLFQ_L2_Norm/SRPT_L2_Norm,1.7427467088072075
16.772,64.0,L16.772/H64,0.028,RMLFQ_L2_Norm/SRPT_L2_Norm,0.845050781493261
7.918,512.0,L7.918/H512,0.028,RMLFQ_L2_Norm/SRPT_L2_Norm,1.290315217920291
5.649,4096.0,L5.649/H4096,0.028,RMLFQ_L2_Norm/SRPT_L2_Norm,1.2513138440572502
4.073,262144.0,L4.073/H262144,0.028,RMLFQ_L2_Norm/SRPT_L2_Norm,1.652578279284674
16.772,64.0,L16.772/H64,0.026,RMLFQ_L2_Norm/SRPT_L2_Norm,0.8183655274778507
7.918,512.0,L7.918/H512,0.026,RMLFQ_L2_Norm/SRPT_L2_Norm,1.2556827467834344
5.649,4096.0,L5.649/H4096,0.026,RMLFQ_L2_Norm/SRPT_L2_Norm,1.2139045968107327
4.073,262144.0,L4.073/H262144,0.026,RMLFQ_L2_Norm/SRPT_L2_Norm,2.171203500152122
16.772,64.0,L16.772/H64,0.025,RMLFQ_L2_Norm/SRPT_L2_Norm,0.8145773231218221
7.918,512.0,L7.918/H512,0.025,RMLFQ_L2_Norm/SRPT_L2_Norm,1.2419888444262424
5.649,4096.0,L5.649/H4096,0.025,RMLFQ_L2_Norm/SRPT_L2_Norm,1.2496566551209505
4.073,262144.0,L4.073/H262144,0.025,RMLFQ_L2_Norm/SRPT_L2_Norm,1.652103733061825
16.772,64.0,L16.772/H64,0.05,RMLFQ_L2_Norm/FCFS_L2_Norm,0.0313346963549152
7.918,512.0,L7.918/H512,0.05,RMLFQ_L2_Norm/FCFS_L2_Norm,0.3628636208965978
5.649,4096.0,L5.649/H4096,0.05,RMLFQ_L2_Norm/FCFS_L2_Norm,0.199625181675877
4.073,262144.0,L4.073/H262144,0.05,RMLFQ_L2_Norm/FCFS_L2_Norm,0.1008273682738835
16.772,64.0,L16.772/H64,0.04545,RMLFQ_L2_Norm/FCFS_L2_Norm,0.0434686501024652
7.918,512.0,L7.918/H512,0.04545,RMLFQ_L2_Norm/FCFS_L2_Norm,0.413112923277444
5.649,4096.0,L5.649/H4096,0.04545,RMLFQ_L2_Norm/FCFS_L2_Norm,0.2435705433048388
4.073,262144.0,L4.073/H262144,0.04545,RMLFQ_L2_Norm/FCFS_L2_Norm,0.0861406821548717
16.772,64.0,L16.772/H64,0.0416,RMLFQ_L2_Norm/FCFS_L2_Norm,0.0983700712923262
7.918,512.0,L7.918/H512,0.0416,RMLFQ_L2_Norm/FCFS_L2_Norm,0.569660468233728
5.649,4096.0,L5.649/H4096,0.0416,RMLFQ_L2_Norm/FCFS_L2_Norm,0.312784394567192
4.073,262144.0,L4.073/H262144,0.0416,RMLFQ_L2_Norm/FCFS_L2_Norm,0.12250132171758
16.772,64.0,L16.772/H64,0.0385,RMLFQ_L2_Norm/FCFS_L2_Norm,1.561077352082736
