checkpoint,arrival_rate,bp_parameter,rmlf_ratio,fcfs_ratio
4,20,"{'L': 16.772, 'H': 64}",2.843601895734597,97.1563981042654
4,20,"{'L': 7.918, 'H': 512}",9.230612512187667,90.76938748781234
4,20,"{'L': 5.649, 'H': 4096}",90.70144436493216,9.298555635067837
4,20,"{'L': 4.639, 'H': 32768}",96.33139425783449,3.6686057421655094
4,20,"{'L': 4.073, 'H': 262144}",92.78361908370434,7.216380916295664
4,22,"{'L': 16.772, 'H': 64}",2.80303437886695,97.19696562113305
4,22,"{'L': 7.918, 'H': 512}",7.5311184740754005,92.4688815259246
4,22,"{'L': 5.649, 'H': 4096}",89.24196591691874,10.758034083081254
4,22,"{'L': 4.639, 'H': 32768}",96.66170742715768,3.3382925728423127
4,22,"{'L': 4.073, 'H': 262144}",89.69378607489423,10.306213925105768
4,24,"{'L': 16.772, 'H': 64}",2.6822920178549756,97.31770798214502
4,24,"{'L': 7.918, 'H': 512}",5.638466907233335,94.36153309276666
4,24,"{'L': 5.649, 'H': 4096}",89.62596323126209,10.374036768737914
4,24,"{'L': 4.639, 'H': 32768}",92.0031865585168,7.996813441483199
4,24,"{'L': 4.073, 'H': 262144}",97.41987920126218,2.5801207987378287
4,26,"{'L': 16.772, 'H': 64}",2.405344607962707,97.59465539203728
4,26,"{'L': 7.918, 'H': 512}",6.149568271623005,93.85043172837699
4,26,"{'L': 5.649, 'H': 4096}",85.40189382404547,14.598106175954525
4,26,"{'L': 4.639, 'H': 32768}",96.73157162726008,3.2684283727399164
4,26,"{'L': 4.073, 'H': 262144}",93.27731092436974,6.722689075630252
4,28,"{'L': 16.772, 'H': 64}",1.9156103302263288,98.08438966977367
4,28,"{'L': 7.918, 'H': 512}",8.850711572262856,91.14928842773715
4,28,"{'L': 5.649, 'H': 4096}",93.9030619102664,6.096938089733595
4,28,"{'L': 4.639, 'H': 32768}",75.09265102403764,24.907348975962364
4,28,"{'L': 4.073, 'H': 262144}",98.14853225331048,1.8514677466895189
4,30,"{'L': 16.772, 'H': 64}",0.4089632194420853,99.59103678055791
4,30,"{'L': 7.918, 'H': 512}",1.2555440914389848,98.74445590856101
4,30,"{'L': 5.649, 'H': 4096}",98.62310446503791,1.3768955349620893
4,30,"{'L': 4.639, 'H': 32768}",97.8037733826446,2.1962266173554164
4,30,"{'L': 4.073, 'H': 262144}",97.60834286626407,2.3916571337359334
4,32,"{'L': 16.772, 'H': 64}",0.22086199280620938,99.7791380071938
4,32,"{'L': 7.918, 'H': 512}",3.5323623992749034,96.4676376007251
4,32,"{'L': 5.649, 'H': 4096}",93.89628732849071,6.103712671509282
4,32,"{'L': 4.639, 'H': 32768}",98.91233685052758,1.087663149472421
4,32,"{'L': 4.073, 'H': 262144}",97.77480294321394,2.2251970567860555
4,34,"{'L': 16.772, 'H': 64}",0.1617410953202117,99.83825890467979
4,34,"{'L': 7.918, 'H': 512}",98.403846835458,1.5961531645420068
4,34,"{'L': 5.649, 'H': 4096}",90.58840063712171,9.411599362878292
4,34,"{'L': 4.639, 'H': 32768}",94.63765790137325,5.362342098626746
4,34,"{'L': 4.073, 'H': 262144}",92.21271654383013,7.78728345616987
4,36,"{'L': 16.772, 'H': 64}",0.18409631026364823,99.81590368973634
4,36,"{'L': 7.918, 'H': 512}",9.26863385066276,90.73136614933725
4,36,"{'L': 5.649, 'H': 4096}",98.51737727612732,1.4826227238726821
4,36,"{'L': 4.639, 'H': 32768}",93.25454625706215,6.745453742937853
4,36,"{'L': 4.073, 'H': 262144}",90.87643371850082,9.123566281499167
4,38,"{'L': 16.772, 'H': 64}",0.11030291678373344,99.88969708321626
4,38,"{'L': 7.918, 'H': 512}",84.43555047328633,15.564449526713679
4,38,"{'L': 5.649, 'H': 4096}",95.72986229814522,4.2701377018547815
4,38,"{'L': 4.639, 'H': 32768}",91.10772357723577,8.892276422764228
4,38,"{'L': 4.073, 'H': 262144}",63.28305833923812,36.71694166076189
4,40,"{'L': 16.772, 'H': 64}",0.12734382833650856,99.8726561716635
4,40,"{'L': 7.918, 'H': 512}",33.485699092963564,66.51430090703644
4,40,"{'L': 5.649, 'H': 4096}",97.5466624796373,2.4533375203627013
4,40,"{'L': 4.639, 'H': 32768}",96.88387683217816,3.1161231678218386
4,40,"{'L': 4.073, 'H': 262144}",96.37833966618258,3.621660333817415
