checkpoint,arrival_rate,bp_parameter,rmlf_ratio,fcfs_ratio
4,20,"{'L': 16.772, 'H': 64}",2.843601895734597,97.1563981042654
4,20,"{'L': 7.918, 'H': 512}",9.230612512187667,90.76938748781234
4,20,"{'L': 5.649, 'H': 4096}",90.91612752471777,9.083872475282229
4,20,"{'L': 4.639, 'H': 32768}",96.3112886363027,3.6887113636972897
4,20,"{'L': 4.073, 'H': 262144}",92.56733289128856,7.432667108711439
4,22,"{'L': 16.772, 'H': 64}",2.80303437886695,97.19696562113305
4,22,"{'L': 7.918, 'H': 512}",7.5311184740754005,92.4688815259246
4,22,"{'L': 5.649, 'H': 4096}",89.28090089550452,10.719099104495493
4,22,"{'L': 4.639, 'H': 32768}",96.61824442921382,3.381755570786179
4,22,"{'L': 4.073, 'H': 262144}",90.00676281395971,9.993237186040293
4,24,"{'L': 16.772, 'H': 64}",2.6822920178549756,97.31770798214502
4,24,"{'L': 7.918, 'H': 512}",5.638466907233335,94.36153309276666
4,24,"{'L': 5.649, 'H': 4096}",85.44691044474588,14.55308955525412
4,24,"{'L': 4.639, 'H': 32768}",94.29461181923523,5.705388180764774
4,24,"{'L': 4.073, 'H': 262144}",97.81669827407609,2.1833017259239194
4,26,"{'L': 16.772, 'H': 64}",2.405344607962707,97.59465539203728
4,26,"{'L': 7.918, 'H': 512}",6.149568271623005,93.85043172837699
4,26,"{'L': 5.649, 'H': 4096}",87.92795928133292,12.072040718667072
4,26,"{'L': 4.639, 'H': 32768}",96.73157162726008,3.2684283727399164
4,26,"{'L': 4.073, 'H': 262144}",93.2834003166484,6.7165996833516015
4,28,"{'L': 16.772, 'H': 64}",1.9156103302263288,98.08438966977367
4,28,"{'L': 7.918, 'H': 512}",8.850711572262856,91.14928842773715
4,28,"{'L': 5.649, 'H': 4096}",94.21624237210678,5.783757627893222
4,28,"{'L': 4.639, 'H': 32768}",75.23492628076416,24.765073719235843
4,28,"{'L': 4.073, 'H': 262144}",98.15617392443478,1.843826075565211
4,30,"{'L': 16.772, 'H': 64}",0.4089632194420853,99.59103678055791
4,30,"{'L': 7.918, 'H': 512}",1.2555440914389848,98.74445590856101
4,30,"{'L': 5.649, 'H': 4096}",98.62310446503791,1.3768955349620893
4,30,"{'L': 4.639, 'H': 32768}",97.82253309749692,2.177466902503082
4,30,"{'L': 4.073, 'H': 262144}",97.6043523371199,2.395647662880098
4,32,"{'L': 16.772, 'H': 64}",0.22086199280620938,99.7791380071938
4,32,"{'L': 7.918, 'H': 512}",3.5323623992749034,96.4676376007251
4,32,"{'L': 5.649, 'H': 4096}",93.89628732849071,6.103712671509282
4,32,"{'L': 4.639, 'H': 32768}",98.90733610041507,1.0926638995849378
4,32,"{'L': 4.073, 'H': 262144}",97.72986837917284,2.2701316208271702
4,34,"{'L': 16.772, 'H': 64}",0.1617410953202117,99.83825890467979
4,34,"{'L': 7.918, 'H': 512}",98.403846835458,1.5961531645420068
4,34,"{'L': 5.649, 'H': 4096}",90.61299540897592,9.38700459102408
4,34,"{'L': 4.639, 'H': 32768}",94.63765790137325,5.362342098626746
4,34,"{'L': 4.073, 'H': 262144}",92.21271654383013,7.78728345616987
4,36,"{'L': 16.772, 'H': 64}",0.18409631026364823,99.81590368973634
4,36,"{'L': 7.918, 'H': 512}",9.269743999644753,90.73025600035524
4,36,"{'L': 5.649, 'H': 4096}",98.51737727612732,1.4826227238726821
4,36,"{'L': 4.639, 'H': 32768}",93.28323622881356,6.71676377118644
4,36,"{'L': 4.073, 'H': 262144}",90.87643371850082,9.123566281499167
4,38,"{'L': 16.772, 'H': 64}",0.11030291678373344,99.88969708321626
4,38,"{'L': 7.918, 'H': 512}",84.43555047328633,15.564449526713679
4,38,"{'L': 5.649, 'H': 4096}",95.72561551773562,4.2743844822643835
4,38,"{'L': 4.639, 'H': 32768}",91.10772357723577,8.892276422764228
4,38,"{'L': 4.073, 'H': 262144}",63.28643249991565,36.71356750008435
4,40,"{'L': 16.772, 'H': 64}",0.12834653564624487,99.87165346435376
4,40,"{'L': 7.918, 'H': 512}",75.3832152243049,24.616784775695105
4,40,"{'L': 5.649, 'H': 4096}",97.5466624796373,2.4533375203627013
4,40,"{'L': 4.639, 'H': 32768}",96.88292997007916,3.1170700299208423
4,40,"{'L': 4.073, 'H': 262144}",96.37833966618258,3.621660333817415
4,20,"{'L': 16.772, 'H': 64}",9.734273318872019,90.26572668112797
4,20,"{'L': 7.918, 'H': 512}",14.588394062078272,85.41160593792173
4,20,"{'L': 5.649, 'H': 4096}",71.91601049868767,28.083989501312335
4,20,"{'L': 4.639, 'H': 32768}",81.57407407407408,18.425925925925927
4,20,"{'L': 4.073, 'H': 262144}",90.58453570107288,9.415464298927118
4,20,"{'L': 56.3, 'H': 64}",9.97945795507256,90.02054204492744
4,20,"{'L': 18.9, 'H': 512}",16.3308229866341,83.6691770133659
4,20,"{'L': 12.4, 'H': 4096}",75.96072762317793,24.03927237682207
4,20,"{'L': 9.8, 'H': 32768}",81.33836003770028,18.661639962299716
4,20,"{'L': 8.5, 'H': 262144}",65.97633136094674,34.023668639053255
4,20,"{'L': 32.3, 'H': 512}",15.751268147629876,84.24873185237013
4,20,"{'L': 19.7, 'H': 4096}",64.61836685243519,35.38163314756482
4,20,"{'L': 15.3, 'H': 32768}",80.24058894960534,19.759411050394657
4,20,"{'L': 13.0, 'H': 262144}",94.57001589263642,5.429984107363588
4,22,"{'L': 16.772, 'H': 64}",9.394600490864468,90.60539950913554
4,22,"{'L': 7.918, 'H': 512}",18.424923118063912,81.5750768819361
4,22,"{'L': 5.649, 'H': 4096}",83.54520782745321,16.454792172546778
4,22,"{'L': 4.639, 'H': 32768}",87.82654820315608,12.17345179684392
4,22,"{'L': 4.073, 'H': 262144}",88.43923348461927,11.560766515380736
4,22,"{'L': 56.3, 'H': 64}",10.154335298403657,89.84566470159633
4,22,"{'L': 18.9, 'H': 512}",15.788048995059889,84.2119510049401
4,22,"{'L': 12.4, 'H': 4096}",69.4429906542056,30.557009345794395
4,22,"{'L': 9.8, 'H': 32768}",91.04657767679637,8.953422323203636
4,22,"{'L': 8.5, 'H': 262144}",80.594861931584,19.40513806841599
4,22,"{'L': 32.3, 'H': 512}",15.726307076838184,84.27369292316182
4,22,"{'L': 19.7, 'H': 4096}",77.43948722273763,22.560512777262375
4,22,"{'L': 15.3, 'H': 32768}",75.75527626274604,24.244723737253974
4,22,"{'L': 13.0, 'H': 262144}",79.9765558397272,20.023444160272806
4,24,"{'L': 16.772, 'H': 64}",7.60461559849854,92.39538440150146
4,24,"{'L': 7.918, 'H': 512}",8.88988495443,91.11011504557
4,24,"{'L': 5.649, 'H': 4096}",69.03831118060985,30.961688819390147
4,24,"{'L': 4.639, 'H': 32768}",75.47419497132775,24.525805028672252
4,24,"{'L': 4.073, 'H': 262144}",71.62321278385197,28.376787216148024
4,24,"{'L': 56.3, 'H': 64}",10.100338892949697,89.89966110705029
