arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
38.00,30.00,18.00,100.00,0.00,397
34.00,30.00,15.00,100.00,0.00,397
38.00,30.00,15.00,100.00,0.00,397
34.00,30.00,18.00,100.00,0.00,397
34.00,16.77,64.00,100.00,0.00,397
34.00,30.00,12.00,100.00,0.00,397
36.00,30.00,18.00,100.00,0.00,397
40.00,30.00,12.00,100.00,0.00,397
34.00,30.00,9.00,100.00,0.00,397
38.00,30.00,9.00,100.00,0.00,397
40.00,30.00,18.00,100.00,0.00,397
38.00,30.00,12.00,100.00,0.00,397
38.00,30.00,6.00,100.00,0.00,397
40.00,30.00,6.00,100.00,0.00,397
32.00,30.00,6.00,100.00,0.00,397
32.00,30.00,12.00,100.00,0.00,397
32.00,30.00,9.00,100.00,0.00,397
36.00,30.00,6.00,100.00,0.00,397
36.00,30.00,12.00,100.00,0.00,397
38.00,16.77,64.00,100.00,0.00,397
36.00,16.77,64.00,100.00,0.00,397
40.00,16.77,64.00,100.00,0.00,397
34.00,30.00,6.00,100.00,0.00,397
30.00,30.00,18.00,100.00,0.00,397
40.00,30.00,15.00,100.00,0.00,397
36.00,30.00,15.00,100.00,0.00,397
32.00,30.00,15.00,100.00,0.00,397
36.00,30.00,9.00,100.00,0.00,397
32.00,16.77,64.00,100.00,0.00,397
30.00,30.00,9.00,100.00,0.00,397
40.00,30.00,9.00,100.00,0.00,397
32.00,30.00,18.00,100.00,0.00,397
30.00,30.00,12.00,100.00,0.00,397
30.00,30.00,15.00,100.00,0.00,397
30.00,16.77,64.00,100.00,0.00,397
30.00,30.00,6.00,100.00,0.00,397
28.00,30.00,6.00,100.00,0.00,397
28.00,30.00,12.00,100.00,0.00,397
22.00,7.92,512.00,26.20,73.80,397
30.00,7.92,512.00,25.69,74.31,397
28.00,30.00,18.00,100.00,0.00,397
28.00,30.00,9.00,100.00,0.00,397
40.00,7.92,512.00,27.71,72.29,397
36.00,7.92,512.00,28.97,71.03,397
34.00,7.92,512.00,27.71,72.29,397
26.00,30.00,9.00,100.00,0.00,396
28.00,30.00,15.00,100.00,0.00,397
36.00,4.07,262144.00,13.85,86.15,397
24.00,30.00,9.00,100.00,0.00,396
40.00,4.64,32768.00,18.39,81.61,397
26.00,30.00,6.00,100.00,0.00,396
26.00,30.00,18.00,99.50,0.50,397
26.00,4.07,262144.00,19.90,80.10,397
28.00,16.77,64.00,100.00,0.00,397
40.00,4.07,262144.00,21.16,78.84,397
22.00,30.00,9.00,100.00,0.00,396
38.00,5.65,4096.00,17.13,82.87,397
38.00,7.92,512.00,24.69,75.31,397
22.00,16.77,64.00,100.00,0.00,396
28.00,4.64,32768.00,16.88,83.12,397
26.00,30.00,15.00,100.00,0.00,397
36.00,5.65,4096.00,17.88,82.12,397
24.00,30.00,12.00,100.00,0.00,397
24.00,30.00,6.00,100.00,0.00,396
20.00,30.00,6.00,100.00,0.00,395
32.00,7.92,512.00,27.96,72.04,397
20.00,30.00,12.00,100.00,0.00,395
22.00,30.00,15.00,100.00,0.00,396
24.00,4.07,262144.00,14.61,85.39,397
32.00,5.65,4096.00,19.49,80.51,395
30.00,5.65,4096.00,16.62,83.38,397
26.00,16.77,64.00,100.00,0.00,397
36.00,4.64,32768.00,19.65,80.35,397
38.00,4.07,262144.00,17.63,82.37,397
40.00,5.65,4096.00,16.88,83.12,397
24.00,30.00,15.00,100.00,0.00,397
20.00,16.77,64.00,100.00,0.00,395
34.00,4.64,32768.00,18.14,81.86,397
34.00,4.07,262144.00,15.11,84.89,397
32.00,4.07,262144.00,17.63,82.37,397
22.00,30.00,6.00,100.00,0.00,396
26.00,30.00,12.00,100.00,0.00,396
26.00,5.65,4096.00,19.65,80.35,397
34.00,5.65,4096.00,19.40,80.60,397
24.00,16.77,64.00,100.00,0.00,397
22.00,30.00,18.00,99.75,0.25,396
24.00,30.00,18.00,100.00,0.00,396
20.00,4.64,32768.00,18.18,81.82,396
22.00,30.00,12.00,100.00,0.00,396
26.00,4.64,32768.00,15.11,84.89,397
32.00,4.64,32768.00,15.37,84.63,397
20.00,5.65,4096.00,17.42,82.58,396
28.00,7.92,512.00,32.58,67.42,396
20.00,30.00,15.00,100.00,0.00,395
22.00,5.65,4096.00,14.18,85.82,395
30.00,4.07,262144.00,13.35,86.65,397
20.00,30.00,9.00,100.00,0.00,395
28.00,4.07,262144.00,14.68,85.32,395
20.00,30.00,18.00,100.00,0.00,394
26.00,7.92,512.00,22.73,77.27,396
20.00,7.92,512.00,24.49,75.51,396
38.00,4.64,32768.00,17.63,82.37,397
30.00,4.64,32768.00,14.39,85.61,396
24.00,7.92,512.00,23.23,76.77,396
22.00,4.07,262144.00,14.65,85.35,396
28.00,5.65,4096.00,17.88,82.12,397
22.00,4.64,32768.00,17.13,82.87,397
20.00,4.07,262144.00,10.89,89.11,395
24.00,5.65,4096.00,15.37,84.63,397
24.00,4.64,32768.00,17.88,82.12,397
