frequency,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
2,432469.974722,432469.974722,432469.974722,432469.974722,432469.974722,432469.974722,26501.000000,26501.000000,26501.000000,26501.000000,26501.000000,26501.000000
4,592808.675443,592808.675443,592808.675443,592808.675443,592808.675443,592808.675443,21767.000000,21767.000000,21767.000000,21767.000000,21767.000000,21767.000000
16,803624.459927,803624.459927,803624.459927,803624.459927,803624.459927,803624.459927,16632.000000,16632.000000,16632.000000,16632.000000,16632.000000,16632.000000
16384,769596.674145,769596.674145,769596.674145,769596.674145,769596.674145,769596.674145,15423.000000,15423.000000,15423.000000,15423.000000,15423.000000,15423.000000
8,659069.264280,659069.264280,659069.264280,659069.264280,659069.264280,659069.264280,23239.000000,23239.000000,23239.000000,23239.000000,23239.000000,23239.000000
32,804236.556609,804236.556609,804236.556609,804236.556609,804236.556609,804236.556609,24170.000000,24170.000000,24170.000000,24170.000000,24170.000000,24170.000000
256,1186214.033747,1186214.033747,1186214.033747,1186214.033747,1186214.033747,1186214.033747,20846.000000,20846.000000,20846.000000,20846.000000,20846.000000,20846.000000
512,1137421.854193,1137421.854193,1137421.854193,1137421.854193,1137421.854193,1137421.854193,25424.000000,25424.000000,25424.000000,25424.000000,25424.000000,25424.000000
128,987695.073851,987695.073851,987695.073851,987695.073851,987695.073851,987695.073851,22209.000000,22209.000000,22209.000000,22209.000000,22209.000000,22209.000000
8192,1597851.896561,1597851.896561,1597851.896561,1597851.896561,1597851.896561,1564428.793670,26387.000000,26387.000000,26387.000000,26387.000000,26387.000000,83930.000000
2048,1304752.075146,1345706.446007,1345706.446007,1345706.446007,1345706.446007,1323982.277375,68216.000000,22145.000000,22145.000000,22145.000000,22145.000000,36018.000000
64,978343.982998,978343.982998,978343.982998,978343.982998,978343.982998,978343.982998,23689.000000,23689.000000,23689.000000,23689.000000,23689.000000,23689.000000
4096,1242847.650439,1242847.650439,1242847.650439,1242847.650439,1242847.650439,1242847.650439,18662.000000,18662.000000,18662.000000,18662.000000,18662.000000,18662.000000
1024,1882169.651124,1919055.999663,1919055.999663,1919055.999663,1919055.999663,1889480.542057,71886.000000,31369.000000,31369.000000,31369.000000,31369.000000,86200.000000
32768,2578851.667329,2616914.213624,2616914.213624,2616914.213624,2521384.701128,2578851.667329,53162.000000,48993.000000,48993.000000,48993.000000,76494.000000,53162.000000
65536,1910846.897685,2042349.304704,2042349.304704,2004431.406082,1940085.178044,1924917.569722,108140.000000,33358.000000,33358.000000,37196.000000,98584.000000,98584.000000
