arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,23490829.800360776,14590357.512015427,31594812.169494297,24913896.319613438,23299310.81023544,14782812.685032371,25235109.153318517,16122004.508814715
22,2642826.965771123,1588566.2335684968,3335135.8913329155,4853626.597176281,2776347.4257943654,2318675.5727229286,4231887.511019285,1531606.5818848521
24,25200642.514414568,15658076.234307712,35830671.31165989,36808314.22183487,26470134.970424782,15658076.234307712,38547612.90298058,16269311.77348369
26,1881442.648244692,1054022.8802962487,2092376.567283719,1720803.8347554319,1930157.9452679513,1441362.8779939492,1711165.6400991695,1023476.0234333777
28,8406006.604624338,5579212.42939978,13819771.324816993,15559481.83483724,9697323.009148246,5570904.973197353,16000958.879952945,5230692.831343473
30,17232674.54965604,11215280.79043387,27437649.318628136,34909869.61048928,18452093.76112367,11215280.79043387,26894586.75959735,11182533.147676649
32,149392.3234038483,124481.61441755164,213440.6188685743,144259.02260170766,194214.9600854682,97954.85873094811,136723.8611581753,124330.60965426012
34,22600322.98508112,13991125.886152621,31566864.1954822,40144501.25208252,23764948.930250764,13991125.886152621,39304455.03588875,14454461.192712685
36,107788.62332361426,88968.91388569381,114423.84213528228,552922.5516959857,114358.19319576539,88968.91388569381,115232.18060073323,88948.05905133624
38,12107538.013755728,7665991.439692064,17760624.337115828,33482054.066327367,12765589.239452364,7665991.439692064,13302923.881697098,7341596.155946335
40,15287696.465503624,9458774.668715393,18138570.05449396,15103977.25979015,16176143.056367608,14117273.938102284,15516095.745723858,8667377.960336044
